地名,センター,可燃ゴミ,ペットボトル,リサイクルプラ,資源ゴミ,有害ゴミ,その他プラ,大型ゴミ,不燃ゴミ
東区 戸坂桜東町、戸坂桜西町 戸坂桜上町 戸坂出江1丁目、2丁目 戸坂数甲1丁目、2丁目 戸坂惣田1丁目、2丁目 戸坂山根2丁目、3丁目 戸坂大上1丁目、2丁目、3丁目、4丁目、戸坂城山町 戸坂町、戸坂長尾台,,月 木,水,水,金2 金4,金2 金4,金1 金3,20140408 20140422 20140513 20140527 20140610 20140624 20140708 20140722 20140812 20140826 20140909 20140919 20141014 20141028 20141111 20141125 20141209 20141219 20150113 20150127 20150210 20150224 20150310 20150324 *1,火1 火3
東区 中山中町,,月 木,金,金,火1 火3,火1 火3,火2 火4,20140402 20140416 20140507 20140521 20140604 20140618 20140702 20140716 20140812 20140820 20140903 20140917 20141001 20141015 20141105 20141119 20141203 20141217 20150107 20150121 20150204 20150218 20150304 20150318 *1,水2 水4
東区 中山東1丁目、2丁目、3丁目 中山南1丁目、2丁目 中山西1丁目、2丁目,,月 木,金,金,火2 火4,火2 火4,火1 火3,20140402 20140416 20140507 20140521 20140604 20140618 20140702 20140716 20140805 20140820 20140903 20140917 20141001 20141015 20141105 20141119 20141203 20141217 20150107 20150121 20150204 20150218 20150304 20150318 *1,水2 水4
東区 温品1丁目、4丁目 温品5丁目（3番・4番街区に排出する地域）,,月 木,火,火,金2 金4,金2 金4,金1 金3,20140402 20140416 20140507 20140521 20140604 20140618 20140702 20140716 20140801 20140820 20140903 20140917 20141001 20141015 20141105 20141119 20141203 20141217 20150107 20150121 20150204 20150218 20150304 20150318 *1,水2 水4
東区 温品5丁目（上記以外の温品5丁目） 温品6丁目 上温品1丁目（県道西側）,,月 木,水,水,金2 金4,金2 金4,金1 金3,20140401 20140415 20140513 20140520 20140603 20140617 20140701 20140715 20140805 20140819 20140902 20140916 20141007 20141021 20141104 20141118 20141202 20141216 20150106 20150120 20150203 20150217 20150303 20150317 *1,火2 火4
東区 馬木3丁目、4丁目、馬木町 馬木7丁目、8丁目、9丁目,,月 木,水,水,火2 火4,火2 火4,火1 火3,20140404 20140418 20140509 20140516 20140606 20140620 20140704 20140718 20140801 20140815 20140905 20140919 20141003 20141017 20141107 20141121 20141205 20141219 20150106 20150116 20150206 20150220 20150306 20150320 *1,金2 金4
東区 馬木5丁目、6丁目 福田1丁目、2丁目,,月 木,金,金,火2 火4,火2 火4,火1 火3,20140402 20140416 20140507 20140521 20140604 20140618 20140702 20140716 20140805 20140820 20140903 20140917 20141001 20141015 20141105 20141119 20141203 20141217 20150107 20150121 20150204 20150218 20150304 20150318 *1,水2 水4
東区 馬木1丁目、2丁目 上温品2丁目、3丁目 温品町（県道西側）,,月 木,金,金,水2 水4,水2 水4,水1 水3,20140401 20140415 20140507 20140520 20140603 20140617 20140701 20140715 20140805 20140819 20140902 20140916 20141007 20141021 20141104 20141118 20141202 20141216 20150106 20150120 20150203 20150217 20150303 20150317 *1,火2 火4
東区 温品2丁目、3丁目、7丁目、8丁目 温品町（県道東側） 上温品1丁目（県道東側） 上温品4丁目,,火 金,水,水,木2 木4,木2 木4,木1 木3,20140407 20140421 20140512 20140519 20140602 20140616 20140707 20140717 20140804 20140818 20140901 20140918 20141006 20141020 20141106 20141117 20141201 20141215 20150115 20150126 20150202 20150216 20150302 20150316 *1,月2 月4
東区 福田3丁目 福田町（東側）,,火 金,水,水,月2 月4,月2 月4,月1 月3,20140403 20140417 20140508 20140515 20140605 20140619 20140703 20140717 20140807 20140821 20140904 20140918 20141002 20141016 20141106 20141120 20141204 20141218 20150108 20150115 20150205 20150219 20150305 20150319 *1,木2 木4
東区 福田4丁目、5丁目、6丁目、7丁目、8丁目、福田町（西側）,,火 金,木,木,月2 月4,月2 月4,月1 月3,20140402 20140416 20140507 20140521 20140604 20140618 20140702 20140716 20140804 20140820 20140903 20140917 20141001 20141015 20141105 20141119 20141203 20141217 20150107 20150121 20150204 20150218 20150304 20150318 *1,水2 水4
南区 霞1丁目、2丁目 出汐1丁目、4丁目,,月 木,水,水,火2 火4,火2 火4,火1 火3,20140404 20140418 20140509 20140516 20140606 20140620 20140704 20140718 20140801 20140815 20140905 20140919 20141003 20141017 20141107 20141121 20141205 20141219 20150106 20150116 20150206 20150220 20150306 20150320 *1,金2 金4
南区 段原日出1丁目、2丁目 段原山崎1丁目、2丁目、3丁目 段原南1丁目 的場町1丁目、2丁目 京橋町、稲荷町、松川町 金屋町、東雲本町1丁目 比治山本町、比治山町、比治山公園,,月 木,水,水,火2 火4,火2 火4,火1 火3,20140411 20140425 20140509 20140523 20140613 20140627 20140711 20140725 20140808 20140822 20140912 20140926 20141010 20141024 20141114 20141128 20141212 20141226 20150106 20150123 20150213 20150227 20150313 20150327 *1,金1 金3
